Sum,rain,maxt,mint,gmin,soil
175259.378,1.2,19.0,14.7,13.5,18.3
175985.661,0.0,19.0,13.2,11.7,17.8
174444.208,7.3,21.0,13.0,11.6,17.4
175314.327,5.7,19.0,15.5,13.4,18.1
177670.724,2.6,19.5,12.9,9.9,17.2
168064.523,0.1,20.7,13.0,11.0,17.5
157986.466,2.6,19.0,12.0,8.9,17.5
159814.405,4.2,18.5,13.3,11.3,17.5
175219.171,0.0,19.0,12.0,8.9,17.0
174891.47,4.2,20.0,13.0,10.0,17.5
176352.204,2.1,18.0,13.7,12.0,17.2
177246.817,0.0,20.5,13.8,11.0,17.0
168352.0,5.1,21.7,9.4,6.5,16.8
158934.366,0.3,19.2,14.0,12.2,17.6
174333.241,0.3,21.0,9.7,6.2,17.0
174327.171,0.1,20.5,8.1,5.4,17.0
175090.189,0.0,18.1,12.5,11.0,17.0
175679.515,0.8,19.3,12.2,9.9,16.7
175281.414,0.0,17.5,12.1,10.5,16.5
168259.288,0.0,24.5,7.0,5.0,15.2
157796.865,3.8,18.3,7.5,5.1,16.2
178723.545,5.9,18.7,11.0,10.0,16.5
176871.041,3.4,18.7,11.8,8.5,16.2
176635.558,4.7,19.0,10.2,8.0,16.1
180063.409,0.0,20.5,15.5,13.2,17.2
176372.409,2.6,20.1,10.9,7.4,16.5
170184.791,4.2,22.2,10.8,7.0,16.1
162566.605,0.5,18.1,12.4,10.5,17.0
177224.437,0.0,19.0,11.1,7.6,16.0
179127.027,0.0,18.8,4.5,2.5,14.8
177805.77,0.0,20.3,5.0,1.8,14.5
176841.135,0.0,20.5,7.9,4.5,15.2
176824.006,0.0,19.5,3.1,0.8,14.5
171807.013,0.0,19.5,12.3,9.5,15.5
165291.017,0.0,19.7,1.4,-1.0,14.0
176263.103,0.0,20.3,2.0,0.0,14.0
177977.701,0.0,22.0,7.3,4.5,14.6
176224.64,0.0,21.5,6.3,3.1,14.5
176564.749,0.2,22.2,10.5,8.8,14.7
176027.092,1.8,24.0,13.0,10.0,16.4
176589.138,17.6,19.4,10.9,7.4,16.1
174838.448,9.9,18.8,14.5,12.6,16.5
185463.712,9.5,17.5,12.5,10.5,16.0
183383.473,2.4,20.5,11.9,9.0,15.5
181399.992,11.0,19.7,10.5,7.3,15.5
183225.349,4.6,21.5,13.5,11.5,17.0
181948.141,1.2,18.2,12.5,8.0,16.5
178495.327,6.8,17.0,6.0,2.8,14.7
171840.039,29.0,19.5,13.2,11.0,15.5
184769.311,0.4,17.5,14.5,12.5,16.5
184021.838,0.3,17.0,7.5,3.5,14.5
182102.933,0.0,18.1,9.5,5.1,14.5
180911.014,0.5,16.0,6.0,2.0,14.0
181150.625,6.0,17.5,2.2,-1.0,13.1
181979.153,5.8,18.4,10.0,8.2,14.7
